Про нас;О Нас
Ім'я;Имя
Прізвище;Фамилия
Дата народження;Дати рождения
Місто;Город
Сторінка в VK;Страница в VK
Сторінка Facebook;Страница в Facebook
Сторінка Twitter;Страница в Twitter
Сторінка OK;Страница в OK
Область;Область
Місто;Город
Тип;Тип
Статус;Статус
Додаткова інформація;Дополнительная информация
Додати;Добавить
Клуб сепаратистів та ватніків України;Клуб сепаратистов и ватников Украины
База сепаратистів, террористів на ватніків України;База сепаратистов, террористов и ватников Украины
База сепаратистів України, база террористів України,клуб ватніків України;База сепаратистов Украины, база террористов Украины, клуб ватников
Підтримати проект;Поддержать проект
Відео;Видео
Я хочу видалити;Я хочу удалить
Причина для видалення;Причина для удаления
Надіслати;Отправить
Підпишіться на наші новини;Подпишитесь на наши новости
Додати;Добавить
Додавання нового профілю;Добавление нового профиля
Диванний ватник;Диванный ватник
Пропагандист сепаратизму;Пропагандист сепаратизма
Коопротивляющийся пополченец;Коопротивляющийся пополченец
Воює в мережі з фошиздамі;Воюет в сети с фошиздами
Активно пропагує сепаратизм;Активно пропагандирует сепаратизм
Приймає участь в вбивствах і мародерстві;Принимаети участие в убийствах и мародерстве
Удобрює землю неньки України;Удобряет землю Украины
Завантаження фото (затиснути ctrl для кількох фото);Загрузить фото (зажать ctrl для нескольких фото)
Головна;Главная
Додати інформацію;Добавить информацию
Авторизація;Авторизация
Зворотній зв'язок;Обратная связь
Вихід;Выход
проект створений для збору та фіксації проявів та підтримки сепаратизму та терроризму в мережі з подальшою їх структуризацією.;проект создан для сбора и фиксации проявлений и поддержки сепаратизма и терроризма в сету с дальнейшей их структуризацией.
Помітивши в мережі сепаратиста або ватніка, анонімно додайте його в нашу базу, а ми організуємо йому побачення з СБУ.;Заметив в сету сепаратиста или ватника, анонимно добавьте его в нашу базу, а мы организуем ему свидание с СБУ.
